Model,Train_Accuracy,Test_Accuracy,F1_Weighted,F1_Macro,CV_Mean,CV_Std
optimized_random_forest,0.8054192299716596,0.6271186440677966,0.6690977572333505,0.43973063973063975,0.6283265303782383,0.011024661688072653
optimized_gradient_boosting,0.896453998755789,0.4915254237288136,0.521867458181919,0.34064375340971087,0.6245247506611651,0.011059320328360248
aggressive_gradient_boosting,0.9913596460911039,0.4915254237288136,0.5214042780448042,0.33720287451630737,0.6287408469458128,0.00739974780036879
