Model,Train_Accuracy,Test_Accuracy,F1_Weighted,F1_Macro,CV_Mean,CV_Std,Overfitting_Gap
gradient_boosting_optimized,0.8569947291108615,0.6351071181755356,0.637014734326598,0.642993119684126,0.6157424709394035,0.007659471434557386,0.22188761093532594
random_forest_optimized,0.7989285405685648,0.6299239806496199,0.6337181435330057,0.6217151712183336,0.6115948559897403,0.008846771748325202,0.16900455991894492
voting_ensemble,0.6861660762118724,0.6240497581202488,0.628752373903414,0.6143629604078583,0.609607740283111,0.009367921547923442,0.06211631809162366
extra_trees,0.5676142746046833,0.5266067726330339,0.5525705627293765,0.4889425041844347,0.5195704986643419,0.006785948834905845,0.041007501971649374
